Classification,,Case Number,Date Reported,Date Occurred,Time Occurred,General Location,Campus?,Disposition
2020,,,,,,,,
"",,,,,,,,
Drug Law Violation,FC2020-01487,3/12/2020,3/12/2020,20:28,Sowers Hall,No,Closed
Tampering W/Moter Veh,FC2020-01397,3/8/2020,3/8/2020,20:26,Edgewood Lot,No,Closed
Domestic Assault,FC2020-01361,3/6/2020,3/6/2020,22:22,Annapolis Hall,No,Arrest
Missing Person,FC2020-01352,3/6/2020,3/6/2020,15:45,Fuller House,No,Closed
Theft -Misdemeanor,FC2020-01346,3/6/2020,3/6/2020,12:12,Lane University Center,No,Open
Burglary,FC2020-01331,3/5/2020,3/5/2020,22:13,Edgewood Commons,No,Suspended
Drug Law Violation,FC2020-01303,3/4/2020,3/4/2020,20:14,Frost Hall,No,Closed
Vandalism,FC2020-01298,3/4/2020,3/4/2020,15:32,Campus Grounds,No,Suspended
Harrassment,FC2020-01297,3/4/2020,3/4/2020,15:10,University Police,No,Closed
Trespassing,FC2020-01247,3/2/2020,3/2/2020,23:27,Chesapeake Dining Hall,No,Closed
Theft -Misdemeanor,FC2020-01239,3/2/2020,3/2/2020,13:39,Lane University Center,No,Open
Theft -Misdemeanor,FC2020-01237,3/2/2020,3/2/2020,10:33,Lane University Center,No,Closed
Distruction of Property,FC2020-01164,2/28/2020,2/28/2020,7:07,Edgewood Commons,No,Arrest
Drug Law Violation,FC2020-01102,2/25/2020,2/25/2020,10:36,College Avenue (East),Yes,Closed
Theft -Misdemeanor,FC2020-01077,2/26/2020,2/24/2020,9:22,Lane University Center,No,Closed
DWI/DUI,FC2020-01022,2/22/2020,2/22/2020,1:12,City of Frostburg,Yes,Arrest
Classification,Case Number,Date Reported,Date Occurred,Time Occurred,General Location,Campus?,Disposition
Drug Law Violation,FC2020-01020,2/22/2020,2/22/2020,4:03,Simpson Hall,No,Closed
Drug Law Violation,FC2020-01014,2/21/2020,2/21/2020,22:24,Diehl Hall,No,Closed
Drug Law Violation,FC2020-01012,2/21/2020,2/21/2020,20:12,Diehl Hall,No,Closed
Drug Law Violation,FC2020-01011,2/21/2020,2/21/2020,18:51,Diehl Hall,No,Closed
Destruction of Property,FC2020-00993,2/21/2020,2/21/2020,6:17,Dunkle Hall,No,Suspended
Drug Law Violation,FC2020-00962,2/19/2020,2/19/2020,21:26,Diehl Hall,No,Closed
Drug Law Violation,FC2020-00933,2/18/2020,2/18/2020,20:34,Sowers Hall,No,Closed
Harrassment,FC2020-00886,2/16/2020,2/16/2020,14:50,University Police,No,Closed
Drug Law Violation,FC2020-00868,2/15/2020,2/15/2020,20:13,Frost Hall,No,Closed
Drug Law Violation,FC2020-00864,2/15/2020,2/15/2020,16:55,Sowers Hall,No,Closed
Drug Law Violation,FC2020-00863,2/15/2020,2/15/2020,16:35,Sowers Hall,No,Closed
Disorderly Conduct,FC2020-00836,2/14/2020,2/14/2020,12:20,University Police,No,Arrest
Fraud,FC2020-00816,2/13/2020,2/13/2020,15:00,Campus Grounds,No,Open
Drug Law Violation,FC2020-00777,2/11/2020,2/11/2020,18:50,Diehl Hall,No,Closed
Traffic Arrest,FC2020-00745,2/10/2020,2/10/2020,10:43,Fine Arts,No,Arrest
Drug Law Violation,FC2020-00731,2/9/2020,2/9/2020,20:05,Diehl Hall,No,Closed
